MQ9,value
489,0
485,0
491,0
503,0
442,0
480,0
491,0
469,0
449,0
504,0
506,0
490,0
502,0
492,0
486,0
491,0
488,0
485,0
491,0
448,0
500,0
507,0
491,0
471,0
488,0
639,1
629,1
648,1
730,1
678,1
703,1
728,1
734,1
716,1
713,1
682,1
694,1
706,1
708,1
692,1
695,1
677,1
673,1
719,1
737,1
752,1
769,1
789,1
770,1
799,1
829,1
744,1
704,1
742,1
729,1
668,1
642,1
680,1
663,1
654,1
700,1
693,1
694,1
695,1
765,1
812,1
808,1
812,1
780,1
778,1
757,1
708,1
741,1
744,1
813,1
828,1
705,1
669,1
816,1
914,1
907,1
945,1
963,1
976,1
972,1
1065,1
1019,1
1091,1
1046,1
1114,1
1115,1
1124,1
1115,1
1115,1
1126,1
1072,1
1046,1
916,1
908,1
917,1
849,1
456,0
455,0
414,0
454,0
443,0
442,0
443,0
442,0
459,0
451,0
435,0
438,0
433,0
432,0
433,0
411,0
442,0
430,0
430,0
436,0
437,0
425,0
427,0
435,0
426,0
425,0
435,0
430,0
428,0
427,0
436,0
422,0
427,0
428,0
425,0
430,0
440,0
433,0
443,0
418,0
422,0
425,0
435,0
434,0
421,0
434,0
382,0
403,0
433,0
409,0
388,0
423,0
424,0
429,0
418,0
422,0
435,0
426,0
424,0
427,0
427,0
437,0
418,0
370,0
413,0
413,0
426,0
413,0
405,0
406,0
404,0
407,0
365,0
402,0
390,0
409,0
400,0
401,0
401,0
416,0
404,0
398,0
438,0
385,0
376,0
376,0
368,0
346,0
906,1
864,1
752,1
716,1
747,1
729,1
855,1
784,1
762,1
742,1
735,1
719,1
715,1
694,1
713,1
683,1
694,1
729,1
713,1
710,1
717,1
775,1
896,1
806,1
790,1
785,1
776,1
689,1
727,1
730,1
718,1
677,1
696,1
675,1
605,1
670,1
638,1
626,1
620,1
626,1
594,1
591,1
606,1
597,1
575,1
594,1
605,1
589,1
608,1
904,1
814,1
791,1
798,1
766,1
794,1
811,1
789,1
812,1
806,1
805,1
791,1
836,1
829,1
874,1
886,1
909,1
895,1
897,1
895,1
908,1
882,1
896,1
892,1
892,1
887,1
887,1
879,1
880,1
891,1
893,1
889,1
904,1
869,1
853,1
872,1
871,1
823,1
815,1
855,1
868,1
849,1
865,1
877,1
882,1
842,1
832,1
705,1
801,1
773,1
769,1
737,1
770,1
726,1
750,1
719,1
746,1
745,1
735,1
691,1
562,0
555,0
535,0
536,0
537,0
500,0
543,0
512,0
517,0
513,0
518,0
557,0
579,0
584,0
598,0
627,0
615,0
620,0
619,0
612,0
614,0
640,0
695,0
654,0
645,0
671,0
618,0
684,0
630,0
664,0
666,0
678,0
665,0
694,1
661,1
668,1
618,1
611,1
603,1
568,1
617,1
609,1
626,1
647,1
688,1
676,1
652,1
654,1
696,1
682,1
675,1
662,1
672,1
668,1
671,1
678,1
668,1
601,1
652,1
671,1
655,1
667,1
674,1
634,1
653,1
644,1
643,1
674,1
655,1
664,1
690,1
669,1
659,1
668,1
673,1
669,1
531,0
485,0
467,0
464,0
470,0
420,0
459,0
426,0
479,0
414,0
469,0
467,0
516,0
489,0
483,0
490,0
460,0
476,0
447,0
442,0
497,0
486,0
454,0
475,0
473,0
434,0
517,1
968,1
970,1
1015,1
997,1
970,1
940,1
872,1
828,1
768,1
779,1
738,1
737,1
716,1
697,1
695,1
666,1
665,1
673,1
642,0
594,0
605,0
644,0
657,0
649,0
652,0
652,0
644,0
663,0
664,0
646,0
632,0
616,0
599,0
599,0
611,0
612,0
573,0
614,0
605,0
579,0
638,0
667,0
668,0
654,0
676,0
642,0
668,0
725,0
680,0
631,0
