,MQ9,value
1130,678,4
1131,703,4
1132,728,4
1133,734,4
1134,716,4
1135,713,4
1136,682,4
1137,694,4
1138,706,4
1139,708,4
1140,692,4
1141,695,4
1142,677,4
1143,673,4
1144,719,4
1145,737,4
1146,752,4
1147,769,4
1148,789,4
1149,770,4
1150,799,4
1151,829,4
1152,744,4
1153,704,4
1154,742,4
1155,729,4
1156,668,4
1157,642,4
1158,680,4
1159,663,4
1160,654,4
1161,700,4
1162,693,4
1163,694,4
1164,695,4
1165,765,4
1166,812,4
1167,808,4
1168,812,4
1169,780,4
1170,778,4
1171,757,4
1172,708,4
1173,741,4
1174,744,4
1175,813,4
1176,828,4
1177,705,3
1178,669,3
1179,816,3
1180,914,3
1181,907,3
1182,945,3
1183,963,3
1184,976,3
1185,972,3
1186,1065,3
1187,1019,3
1188,1091,3
1189,1046,3
1190,1114,3
1191,1115,3
1192,1124,3
1193,1115,3
1194,1115,3
1195,1126,3
1196,1072,3
1197,1046,3
1198,916,3
1199,908,3
1200,917,3
1201,849,3
1202,456,1
1203,455,1
1204,414,1
1205,454,1
1206,443,1
1207,442,1
1208,443,1
1209,442,1
1210,459,1
1211,451,1
1212,435,1
1213,438,1
1214,433,1
1215,432,1
1216,433,1
1217,411,1
1218,442,1
1219,430,1
1220,430,1
1221,436,1
1222,437,1
1223,425,1
1224,427,1
1225,435,1
1226,426,1
1227,425,1
1228,435,1
1229,430,1
1230,428,1
1231,427,1
1232,436,1
1233,422,1
1234,427,1
1235,428,1
1236,425,1
1237,430,1
1238,440,1
1239,433,1
1240,443,1
1241,418,1
1242,422,1
1243,425,1
1244,435,1
1245,434,1
1246,421,1
1247,434,1
1248,382,1
1249,403,1
1250,433,1
1251,409,1
1252,388,1
1253,423,1
1254,424,1
1255,429,1
1256,418,1
1257,422,1
1258,435,1
1259,426,1
1260,424,1
1261,427,1
1262,427,1
1263,437,1
1264,418,1
1265,370,1
1266,413,1
1267,413,1
1268,426,1
1269,413,1
1270,405,1
1271,406,1
1272,404,1
1273,407,1
1274,365,1
1275,402,1
1276,390,1
1277,409,1
1278,400,1
1279,401,1
1280,401,1
1281,416,1
1282,404,1
1283,398,1
1284,438,1
1285,385,1
1286,376,1
1287,376,1
1288,368,1
1289,346,1
1290,906,4
1291,864,4
1292,752,4
1293,716,4
1294,747,4
1295,729,4
1296,855,4
1297,784,4
1298,762,4
1299,742,4
1300,735,4
1301,719,4
1302,715,4
1303,694,4
1304,713,4
1305,683,4
1306,694,4
1307,729,4
1308,713,4
1309,710,4
1310,717,4
1311,775,4
1312,896,4
1313,806,4
1314,790,4
1315,785,4
1316,776,4
1317,689,4
1318,727,4
1319,730,4
1320,718,4
1321,677,4
1322,696,4
1323,675,4
1324,605,4
1325,670,4
1326,638,4
1327,626,4
1328,620,4
1329,626,4
1330,594,4
1331,591,4
1332,606,4
1333,597,4
1334,575,4
1335,594,4
1336,605,4
1337,589,4
1338,608,4
1339,904,3
1340,814,3
1341,791,3
1342,798,3
1343,766,3
1344,794,3
1345,811,3
1346,789,3
1347,812,3
1348,806,3
1349,805,3
1350,791,3
1351,836,3
1352,829,3
1353,874,3
1354,886,3
1355,909,3
1356,895,3
1357,897,3
1358,895,3
1359,908,3
1360,882,3
1361,896,3
1362,892,3
1363,892,3
1364,887,3
1365,887,3
1366,879,3
1367,880,3
1368,891,3
1369,893,3
1370,889,3
1371,904,3
1372,869,3
1373,853,3
1374,872,3
1375,871,3
1376,823,3
1377,815,3
1378,855,3
1379,868,3
1380,849,3
1381,865,3
1382,877,3
1383,882,3
1384,842,3
1385,832,3
1386,705,3
1387,801,3
1388,773,3
1389,769,3
1390,737,3
1391,770,3
1392,726,3
1393,750,3
1394,719,3
1395,746,3
1396,745,3
1397,735,3
1398,691,3
1399,562,2
1400,555,2
1401,535,2
1402,536,2
1403,537,2
1404,500,2
1405,543,2
1406,512,2
1407,517,2
1408,513,2
1409,518,2
1410,557,2
1411,579,2
1412,584,2
1413,598,2
1414,627,2
1415,615,2
1416,620,2
1417,619,2
1418,612,2
1419,614,2
1420,640,2
1421,695,2
1422,654,2
1423,645,2
1424,671,2
1425,618,2
1426,684,2
1427,630,2
1428,664,2
1429,666,2
1430,678,2
1431,665,2
1432,694,4
1433,661,4
1434,668,4
1435,618,4
1436,611,4
1437,603,4
1438,568,4
1439,617,4
1440,609,4
1441,626,4
1442,647,4
1443,688,4
1444,676,4
1445,652,4
1446,654,4
1447,696,4
1448,682,4
1449,675,4
1450,662,4
1451,672,4
1452,668,4
1453,671,4
1454,678,4
1455,668,4
1456,601,4
1457,652,4
1458,671,4
1459,655,4
1460,667,4
1461,674,4
1462,634,4
1463,653,4
1464,644,4
1465,643,4
1466,674,4
1467,655,4
1468,664,4
1469,690,4
1470,669,4
1471,659,4
1472,668,4
1473,673,4
1474,669,4
1475,531,1
1476,485,1
1477,467,1
1478,464,1
1479,470,1
1480,420,1
1481,459,1
1482,426,1
1483,479,1
1484,414,1
1485,469,1
1486,467,1
1487,516,1
1488,489,1
1489,483,1
1490,490,1
1491,460,1
1492,476,1
1493,447,1
1494,442,1
1495,497,1
1496,486,1
1497,454,1
1498,475,1
1499,473,1
1500,434,1
1501,517,4
1502,968,4
1503,970,4
1504,1015,4
1505,997,4
1506,970,4
1507,940,4
1508,872,4
1509,828,4
1510,768,4
1511,779,4
1512,738,4
1513,737,4
1514,716,4
1515,697,4
1516,695,4
1517,666,4
1518,665,4
1519,673,4
1520,642,2
1521,594,2
1522,605,2
1523,644,2
1524,657,2
1525,649,2
1526,652,2
1527,652,2
1528,644,2
1529,663,2
1530,664,2
1531,646,2
1532,632,2
1533,616,2
1534,599,2
1535,599,2
1536,611,2
1537,612,2
1538,573,2
1539,614,2
1540,605,2
1541,579,2
1542,638,2
1543,667,2
1544,668,2
1545,654,2
1546,676,2
1547,642,2
1548,668,2
1549,725,2
1550,680,2
1551,631,2
1552,613,2
1553,607,2
1554,614,2
1555,590,2
1556,585,2
1557,595,2
1558,585,2
1559,577,2
1560,521,1
1561,460,1
1562,483,1
1563,457,1
1564,498,1
1565,466,1
1566,689,3
1567,700,3
1568,708,3
1569,708,3
1570,762,3
1571,801,3
1572,821,3
1573,832,3
1574,856,3
1575,865,3
1576,793,3
1577,848,3
1578,842,3
1579,881,3
1580,883,3
1581,894,3
1582,912,3
1583,906,3
1584,921,3
1585,904,3
1586,911,3
1587,905,3
1588,870,3
1589,918,3
1590,917,3
1591,911,3
1592,927,3
1593,902,3
1594,875,3
1595,941,3
1596,910,3
1597,904,3
1598,926,3
1599,895,3
1600,883,3
1601,491,1
1602,525,1
1603,523,1
1604,484,1
1605,530,1
1606,532,1
1607,529,1
1608,540,1
1609,520,1
1610,485,1
1611,491,1
1612,533,1
1613,494,1
1614,652,4
1615,997,4
1616,1020,4
1617,983,4
1618,1014,4
1619,979,4
1620,1017,4
1621,1012,4
1622,1047,4
1623,1044,4
1624,1020,4
1625,1030,4
1626,1021,4
1627,1023,4
1628,992,4
1629,928,4
1630,880,4
1631,732,4
1632,638,4
1633,642,4
1634,488,1
1635,486,1
1636,495,1
1637,453,1
1638,485,1
1639,484,1
1640,447,1
1641,454,1
1642,471,1
1643,576,2
1644,551,2
1645,594,2
1646,591,2
1647,603,2
1648,606,2
1649,614,2
1650,598,2
1651,603,2
1652,594,2
1653,614,2
1654,624,2
1655,602,2
1656,599,2
1657,633,2
1658,621,2
1659,631,2
1660,649,2
1661,629,2
1662,641,2
1663,627,2
1664,635,2
1665,647,2
1666,643,2
1667,624,2
1668,631,2
1669,627,2
1670,637,2
1671,636,2
1672,634,2
1673,657,2
1674,650,2
1675,648,2
1676,641,2
1677,661,2
1678,660,2
1679,656,2
1680,651,2
1681,641,2
1682,664,2
1683,654,2
1684,651,2
1685,662,2
1686,598,2
1687,650,2
1688,616,2
1689,665,2
1690,633,2
1691,665,2
1692,665,2
1693,607,2
1694,649,2
1695,650,2
1696,473,1
1697,491,1
1698,483,1
1699,499,1
1700,509,1
1701,506,1
1702,491,1
1703,489,1
1704,505,1
1705,486,1
1706,497,1
1707,497,1
1708,489,1
1709,496,1
1710,499,1
1711,509,1
1712,496,1
1713,453,1
1714,504,1
1715,493,1
1716,482,1
1717,488,1
1718,498,1
1719,509,1
1720,443,1
1721,492,1
1722,500,1
1723,493,1
1724,469,1
1725,471,1
1726,515,1
1727,495,1
1728,506,1
1729,502,1
1730,515,1
1731,505,1
1732,510,1
1733,755,4
1734,930,4
1735,1021,4
1736,1017,4
1737,904,4
1738,804,4
1739,751,4
1740,734,4
1741,709,4
1742,718,4
1743,720,4
1744,711,4
1745,775,4
1746,864,4
1747,959,4
1748,841,4
1749,754,4
1750,740,4
1751,767,4
1752,802,4
1753,740,4
1754,860,4
1755,890,4
1756,837,4
1757,799,4
1758,853,4
1759,747,4
1760,783,4
1761,746,4
1762,736,4
1763,764,4
1764,755,4
1765,754,4
1766,494,1
1767,456,1
1768,462,1
1769,472,1
1770,484,1
1771,483,1
1772,483,1
1773,489,1
1774,482,1
1775,479,1
1776,498,1
1777,466,1
1778,473,1
1779,447,1
1780,475,1
1781,478,1
1782,479,1
1783,486,1
1784,471,1
1785,472,1
1786,479,1
1787,470,1
1788,478,1
1789,474,1
1790,471,1
1791,471,1
1792,473,1
1793,446,1
1794,471,1
1795,476,1
1796,475,1
1797,470,1
1798,478,1
1799,461,1
1800,464,1
1801,464,1
1802,449,1
1803,483,1
1804,469,1
1805,528,1
1806,515,1
1807,482,1
1808,523,1
1809,548,1
1810,498,1
1811,540,1
1812,538,1
1813,544,1
1814,539,1
1815,530,1
1816,500,1
1817,534,1
1818,538,1
1819,554,1
1820,559,2
1821,546,2
1822,551,2
1823,564,2
1824,565,2
1825,571,2
1826,553,2
1827,567,2
1828,572,2
1829,595,2
1830,602,2
1831,608,2
1832,581,2
1833,590,2
1834,529,2
1835,533,2
1836,527,2
1837,533,2
1838,513,2
1839,532,2
1840,826,4
1841,821,4
1842,832,4
1843,840,4
1844,840,4
